episode_id,episode_number,episode_title,publish_date,youtube_url,transcript_filename,relative_transcript_path,episode_type,guest_caller_name,main_topic,secondary_topics,topic_tags,semantic_keywords,short_summary,detailed_summary,key_takeaways,nicks_main_advice,caller_problem,resolution,memorable_quotes,potential_email_angles,suggested_email_subject_lines,potential_short_hooks,relevant_audience,emotional_themes,weight_loss_stage,cta_recommendation,transcript_status,review_notes,main_category,search_terms,hidden_concepts,central_struggle,core_coaching_theme,incidental_concepts_mentioned,success_story
EP-012,12,Every diet I ever tried before losing 110 pounds,2025-03-09,https://youtube.com/watch?v=PlL-lkBswPA,EP-012 - Every diet I ever tried before losing 110 pounds - EP 012.txt,../YT Transcripts/EP-012 - Every diet I ever tried before losing 110 pounds - EP 012.txt,Solo,,binge eating,"[""all-or-nothing thinking"", ""food guilt"", ""relationships"", ""sustainable habits"", ""weekend overeating""]","[""binge eating"", ""all-or-nothing thinking"", ""food guilt"", ""relationships"", ""sustainable habits"", ""weekend overeating""]","[""I keep restarting every Monday"", ""breaking binge cycles"", ""food guilt"", ""how to stop starting over"", ""relationships"", ""sustainable habits"", ""weekend overeating"", ""why can't I stop binge eating""]",An episode centered on binge eating.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (026)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Emotional Eating,"[""I keep restarting every Monday"", ""breaking binge cycles"", ""food guilt"", ""how to stop starting over"", ""relationships"", ""sustainable habits"", ""weekend overeating"", ""why can't I stop binge eating""]",[],,,[],False
EP-013,13,Healthier friendships & achieving your weight loss goals,2025-03-09,https://youtube.com/watch?v=zedXMWSLhtY,EP-013 - Healthier friendships & achieving your weight loss goals - EP 013.txt,../YT Transcripts/EP-013 - Healthier friendships & achieving your weight loss goals - EP 013.txt,Solo,,relationships,"[""consistency"", ""food guilt"", ""maintenance mindset"", ""social pressure"", ""weekend overeating""]","[""relationships"", ""consistency"", ""food guilt"", ""maintenance mindset"", ""social pressure"", ""weekend overeating""]","[""I know what to do but I don't do it"", ""consistency over perfection"", ""food guilt"", ""maintenance mindset"", ""relationships"", ""social pressure"", ""weekend overeating""]",An episode centered on relationships.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (027)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Relationships,"[""I know what to do but I don't do it"", ""consistency over perfection"", ""food guilt"", ""maintenance mindset"", ""relationships"", ""social pressure"", ""weekend overeating""]",[],,,[],False
EP-014,14,The importance of having a routine and losing weight,2025-03-09,https://youtube.com/watch?v=E8fUwPP7sls,EP-014 - The importance of having a routine and losing weight - EP 014.txt,../YT Transcripts/EP-014 - The importance of having a routine and losing weight - EP 014.txt,Solo,,sustainable habits,"[""consistency"", ""exercise routine"", ""maintenance mindset"", ""self-sabotage"", ""weekend overeating""]","[""sustainable habits"", ""consistency"", ""exercise routine"", ""maintenance mindset"", ""self-sabotage"", ""weekend overeating""]","[""I know what to do but I don't do it"", ""consistency over perfection"", ""exercise routine"", ""maintenance mindset"", ""self-sabotage"", ""sustainable habits"", ""weekend overeating""]",An episode centered on sustainable habits.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (028)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""I know what to do but I don't do it"", ""consistency over perfection"", ""exercise routine"", ""maintenance mindset"", ""self-sabotage"", ""sustainable habits"", ""weekend overeating""]",[],,,[],False
EP-015,15,Food swaps for weight loss that don't suck,2025-03-09,https://youtube.com/watch?v=feUcOBkUM-U,EP-015 - Food swaps for weight loss that don't suck - EP 015.txt,../YT Transcripts/EP-015 - Food swaps for weight loss that don't suck - EP 015.txt,Solo,,nutrition,"[""binge eating"", ""calorie tracking"", ""cravings"", ""maintenance mindset"", ""relationships""]","[""nutrition"", ""binge eating"", ""calorie tracking"", ""cravings"", ""maintenance mindset"", ""relationships""]","[""breaking binge cycles"", ""calorie tracking"", ""how to stop food noise"", ""maintenance mindset"", ""nutrition"", ""relationships"", ""why can't I eat just one"", ""why can't I stop binge eating""]",An episode centered on nutrition.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (029)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Nutrition,"[""breaking binge cycles"", ""calorie tracking"", ""how to stop food noise"", ""maintenance mindset"", ""nutrition"", ""relationships"", ""why can't I eat just one"", ""why can't I stop binge eating""]",[],,,[],False
EP-016,16,I will start my diet tomorrow,2025-02-26,https://youtube.com/watch?v=F00sPbY0ETY,EP-016 - I will start my diet tomorrow- - EP 016.txt,../YT Transcripts/EP-016 - I will start my diet tomorrow- - EP 016.txt,Solo,,all-or-nothing thinking,"[""cravings"", ""maintenance mindset"", ""relationships"", ""restaurant eating"", ""weekend overeating""]","[""all-or-nothing thinking"", ""cravings"", ""maintenance mindset"", ""relationships"", ""restaurant eating"", ""weekend overeating""]","[""I keep restarting every Monday"", ""how to stop food noise"", ""how to stop starting over"", ""maintenance mindset"", ""relationships"", ""restaurant eating"", ""weekend overeating"", ""why can't I eat just one""]",An episode centered on all-or-nothing thinking.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (012)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""I keep restarting every Monday"", ""how to stop food noise"", ""how to stop starting over"", ""maintenance mindset"", ""relationships"", ""restaurant eating"", ""weekend overeating"", ""why can't I eat just one""]",[],,,[],False
EP-017,17,How to eat intuitively and lose weight,2025-03-09,https://youtube.com/watch?v=A0tN_CHQn80,EP-017 - How to eat intuitively and lose weight - EP 017.txt,../YT Transcripts/EP-017 - How to eat intuitively and lose weight - EP 017.txt,Solo,,binge eating,"[""consistency"", ""cravings"", ""food guilt"", ""nutrition"", ""sustainable habits""]","[""binge eating"", ""consistency"", ""cravings"", ""food guilt"", ""nutrition"", ""sustainable habits""]","[""I know what to do but I don't do it"", ""breaking binge cycles"", ""consistency over perfection"", ""food guilt"", ""how to stop food noise"", ""nutrition"", ""sustainable habits"", ""why can't I eat just one"", ""why can't I stop binge eating""]",An episode centered on binge eating.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (030)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Emotional Eating,"[""I know what to do but I don't do it"", ""breaking binge cycles"", ""consistency over perfection"", ""food guilt"", ""how to stop food noise"", ""nutrition"", ""sustainable habits"", ""why can't I eat just one"", ""why can't I stop binge eating""]",[],,,[],False
EP-018,18,The best diet for permanent weight loss,2025-03-09,https://youtube.com/watch?v=gg4g-TBg_kA,EP-018 - The best diet for permanent weight loss - EP 018.txt,../YT Transcripts/EP-018 - The best diet for permanent weight loss - EP 018.txt,Solo,,sustainable habits,"[""all-or-nothing thinking"", ""cravings"", ""fear of regain"", ""maintenance mindset"", ""nutrition""]","[""sustainable habits"", ""all-or-nothing thinking"", ""cravings"", ""fear of regain"", ""maintenance mindset"", ""nutrition""]","[""I keep restarting every Monday"", ""how to maintain weight loss"", ""how to stop food noise"", ""how to stop starting over"", ""maintenance mindset"", ""nutrition"", ""scared to gain the weight back"", ""sustainable habits"", ""why can't I eat just one""]",An episode centered on sustainable habits.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (031)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""I keep restarting every Monday"", ""how to maintain weight loss"", ""how to stop food noise"", ""how to stop starting over"", ""maintenance mindset"", ""nutrition"", ""scared to gain the weight back"", ""sustainable habits"", ""why can't I eat just one""]",[],,,[],False
EP-019,19,Answering Your Weight Loss Questions #1,2025-03-09,https://youtube.com/watch?v=8vfMa1t7K3w,EP-019 - Answering Your Weight Loss Questions #1 - EP 019.txt,../YT Transcripts/EP-019 - Answering Your Weight Loss Questions #1 - EP 019.txt,Q&A,,motivation,"[""binge eating"", ""relationships""]","[""motivation"", ""binge eating"", ""relationships""]","[""breaking binge cycles"", ""motivation"", ""relationships"", ""why can't I stop binge eating""]",An episode centered on motivation.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (032)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""breaking binge cycles"", ""motivation"", ""relationships"", ""why can't I stop binge eating""]",[],,,[],False
EP-020,20,What I eat 5 years after losing 110 pounds,2025-03-09,https://youtube.com/watch?v=BIM6Y5y-NE8,EP-020 - What I eat 5 years after losing 110 pounds - EP 020.txt,../YT Transcripts/EP-020 - What I eat 5 years after losing 110 pounds - EP 020.txt,Solo,,calorie tracking,"[""cravings"", ""food guilt"", ""maintenance mindset"", ""relationships"", ""sustainable habits""]","[""calorie tracking"", ""cravings"", ""food guilt"", ""maintenance mindset"", ""relationships"", ""sustainable habits""]","[""calorie tracking"", ""food guilt"", ""how to stop food noise"", ""maintenance mindset"", ""relationships"", ""sustainable habits"", ""why can't I eat just one""]",An episode centered on calorie tracking.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (033)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""calorie tracking"", ""food guilt"", ""how to stop food noise"", ""maintenance mindset"", ""relationships"", ""sustainable habits"", ""why can't I eat just one""]",[],,,[],False
EP-021,21,Weight loss as the ultimate teacher,2025-03-09,https://youtube.com/watch?v=iKiacRJ3m-s,EP-021 - Weight loss as the ultimate teacher - EP 021.txt,../YT Transcripts/EP-021 - Weight loss as the ultimate teacher - EP 021.txt,Solo,,consistency,"[""fear of regain"", ""maintenance mindset"", ""motivation"", ""relationships"", ""sustainable habits""]","[""consistency"", ""fear of regain"", ""maintenance mindset"", ""motivation"", ""relationships"", ""sustainable habits""]","[""I know what to do but I don't do it"", ""consistency over perfection"", ""how to maintain weight loss"", ""maintenance mindset"", ""motivation"", ""relationships"", ""scared to gain the weight back"", ""sustainable habits""]",An episode centered on consistency.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (034)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""I know what to do but I don't do it"", ""consistency over perfection"", ""how to maintain weight loss"", ""maintenance mindset"", ""motivation"", ""relationships"", ""scared to gain the weight back"", ""sustainable habits""]",[],,,[],False
EP-022,22,How to lose weight before hitting rock bottom,2025-03-09,https://youtube.com/watch?v=4A-pPqLd8dM,EP-022 - How to lose weight before hitting rock bottom - EP 022.txt,../YT Transcripts/EP-022 - How to lose weight before hitting rock bottom - EP 022.txt,Solo,,relationships,"[""binge eating"", ""calorie tracking"", ""food guilt"", ""social pressure"", ""sustainable habits""]","[""relationships"", ""binge eating"", ""calorie tracking"", ""food guilt"", ""social pressure"", ""sustainable habits""]","[""breaking binge cycles"", ""calorie tracking"", ""food guilt"", ""relationships"", ""social pressure"", ""sustainable habits"", ""why can't I stop binge eating""]",An episode centered on relationships.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (035)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Relationships,"[""breaking binge cycles"", ""calorie tracking"", ""food guilt"", ""relationships"", ""social pressure"", ""sustainable habits"", ""why can't I stop binge eating""]",[],,,[],False
EP-023,23,Developing your inner voice for weight loss success,2025-03-09,https://youtube.com/watch?v=6MChTiWSFQc,EP-023 - Developing your inner voice for weight loss success - EP 023.txt,../YT Transcripts/EP-023 - Developing your inner voice for weight loss success - EP 023.txt,Success Story,,binge eating,"[""cravings"", ""fear of regain"", ""food guilt"", ""maintenance mindset"", ""motivation""]","[""binge eating"", ""cravings"", ""fear of regain"", ""food guilt"", ""maintenance mindset"", ""motivation""]","[""breaking binge cycles"", ""food guilt"", ""how to maintain weight loss"", ""how to stop food noise"", ""maintenance mindset"", ""motivation"", ""scared to gain the weight back"", ""why can't I eat just one"", ""why can't I stop binge eating""]",An episode centered on binge eating.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (036)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Emotional Eating,"[""breaking binge cycles"", ""food guilt"", ""how to maintain weight loss"", ""how to stop food noise"", ""maintenance mindset"", ""motivation"", ""scared to gain the weight back"", ""why can't I eat just one"", ""why can't I stop binge eating""]",[],,,[],True
EP-024,24,"Calories in, calories out"" isn't the full story",2025-03-09,https://youtube.com/watch?v=rLaBYG2vqHM,"EP-024 - -Calories in, calories out- isn't the full story - EP 024.txt","../YT Transcripts/EP-024 - -Calories in, calories out- isn't the full story - EP 024.txt",Solo,,calorie tracking,"[""consistency"", ""fear of regain"", ""maintenance mindset"", ""medication"", ""motivation""]","[""calorie tracking"", ""consistency"", ""fear of regain"", ""maintenance mindset"", ""medication"", ""motivation""]","[""I know what to do but I don't do it"", ""calorie tracking"", ""consistency over perfection"", ""how to maintain weight loss"", ""maintenance mindset"", ""medication"", ""motivation"", ""scared to gain the weight back""]",An episode centered on calorie tracking.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (037)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""I know what to do but I don't do it"", ""calorie tracking"", ""consistency over perfection"", ""how to maintain weight loss"", ""maintenance mindset"", ""medication"", ""motivation"", ""scared to gain the weight back""]",[],,,[],False
EP-025,25,Are you a slave to your diet?,2025-03-09,https://youtube.com/watch?v=NMD7QE4IEyw,EP-025 - Are you a slave to your diet- - EP 025.txt,../YT Transcripts/EP-025 - Are you a slave to your diet- - EP 025.txt,Solo,,calorie tracking,"[""cravings"", ""identity change"", ""maintenance mindset"", ""sustainable habits"", ""weight loss plateau""]","[""calorie tracking"", ""cravings"", ""identity change"", ""maintenance mindset"", ""sustainable habits"", ""weight loss plateau""]","[""calorie tracking"", ""how to stop food noise"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""maintenance mindset"", ""scale hasn't moved in weeks"", ""sustainable habits"", ""what to do during a weight loss plateau"", ""why can't I eat just one""]",An episode centered on calorie tracking.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (038)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""calorie tracking"", ""how to stop food noise"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""maintenance mindset"", ""scale hasn't moved in weeks"", ""sustainable habits"", ""what to do during a weight loss plateau"", ""why can't I eat just one""]",[],,,[],False
EP-026,26,Answering your weight loss questions #2,2025-03-09,https://youtube.com/watch?v=VGsW7LW19KY,EP-026 - Answering your weight loss questions #2 - EP 026.txt,../YT Transcripts/EP-026 - Answering your weight loss questions #2 - EP 026.txt,Q&A,,cravings,"[""confidence"", ""fear of regain"", ""food guilt"", ""identity change"", ""maintenance mindset""]","[""cravings"", ""confidence"", ""fear of regain"", ""food guilt"", ""identity change"", ""maintenance mindset""]","[""confidence"", ""food guilt"", ""how to maintain weight loss"", ""how to stop food noise"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""maintenance mindset"", ""scared to gain the weight back"", ""why can't I eat just one""]",An episode centered on cravings.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (039)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""confidence"", ""food guilt"", ""how to maintain weight loss"", ""how to stop food noise"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""maintenance mindset"", ""scared to gain the weight back"", ""why can't I eat just one""]",[],,,[],False
EP-027,27,The 5 phases of your weight loss journey,2025-03-05,https://youtube.com/watch?v=SFpcIZUK49c,EP-027 - The 5 phases of your weight loss journey - EP 027.txt,../YT Transcripts/EP-027 - The 5 phases of your weight loss journey - EP 027.txt,Solo,,motivation,"[""fear of regain"", ""identity change"", ""maintenance mindset"", ""relationships"", ""self-sabotage""]","[""motivation"", ""fear of regain"", ""identity change"", ""maintenance mindset"", ""relationships"", ""self-sabotage""]","[""how to maintain weight loss"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""maintenance mindset"", ""motivation"", ""relationships"", ""scared to gain the weight back"", ""self-sabotage""]",An episode centered on motivation.,,[],,,,[],[],[],[],[],[],Unknown,,Review Required,"[""Header episode number conflicts with canonical filename (014)"", ""Semantic enrichment is provisional: title and limited transcript evidence only; human/AI review recommended""]",Mindset,"[""how to maintain weight loss"", ""how to stop thinking like a fat person"", ""identity change after weight loss"", ""maintenance mindset"", ""motivation"", ""relationships"", ""scared to gain the weight back"", ""self-sabotage""]",[],,,[],False
